Temp,Humidity,Wind,Soil,Vegetation,Rainfall,Risk
-1.8,86,4,1,2,43.0,1
-1.8,87,4,2,1,43.5,1
-1.8,89,7,2,1,44.5,1
-1.5,88,6,1,2,44.0,1
-1.5,88,7,0,1,44.0,1
-1.4,87,9,2,2,43.5,1
-1.5,89,7,2,1,44.5,1
-1.4,85,7,2,1,42.5,1
-1.4,85,9,1,1,42.5,1
-1.3,88,15,2,2,44.0,2
-1.0,91,9,1,1,45.5,1
-0.5,89,7,1,0,44.5,1
-0.2,88,9,1,1,44.0,1
0.2,87,13,2,2,43.5,2
0.8,87,20,1,1,43.5,2
1.8,85,22,0,1,42.5,2
2.6,82,13,2,0,41.0,2
3.0,81,13,2,0,40.5,2
3.8,82,15,2,1,41.0,2
3.1,88,15,2,2,44.0,2
3.2,87,19,2,2,43.5,2
4.0,85,20,1,0,42.5,2
4.4,84,24,1,0,42.0,2
5.3,79,30,2,1,39.5,2
5.2,77,35,1,2,38.5,2
4.6,72,39,2,2,36.0,2
3.9,71,32,1,2,35.5,2
3.7,69,33,1,2,34.5,2
2.9,69,32,1,0,34.5,2
2.6,70,32,1,0,35.0,2
2.3,70,26,0,1,35.0,2
2.0,70,33,2,2,35.0,2
1.9,68,39,0,1,34.0,2
1.8,67,44,1,1,33.5,2
1.5,66,43,0,1,33.0,2
2.2,66,30,2,1,33.0,2
1.7,56,48,2,0,28.0,2
1.1,57,37,1,0,28.5,2
1.1,56,33,0,2,28.0,2
0.0,59,33,0,2,29.5,2
-0.7,55,24,0,0,27.5,2
-2.1,57,22,2,2,28.5,2
-4.1,57,28,2,0,28.5,2
-4.8,57,24,0,0,28.5,2
-5.6,54,24,2,2,27.0,2
-5.8,58,26,2,2,29.0,2
-7.0,54,20,0,0,27.0,2
-7.4,59,17,2,0,29.5,2
-9.0,57,28,0,0,28.5,2
-9.7,54,20,0,0,27.0,2
-10.5,65,22,1,0,32.5,2
-11.3,54,33,0,2,27.0,2
-12.6,53,24,2,2,26.5,2
-12.9,60,22,1,2,30.0,2
-13.3,61,19,0,0,30.5,2
-14.0,63,19,1,1,31.5,2
-14.8,58,26,2,2,29.0,2
-15.0,56,19,0,1,28.0,2
-15.3,56,24,2,2,28.0,2
-14.9,54,22,1,1,27.0,2
-14.9,52,20,0,2,26.0,2
-15.1,54,22,1,2,27.0,2
-14.9,50,22,1,2,25.0,2
-14.8,53,19,0,1,26.5,2
-15.3,52,22,1,1,26.0,2
-15.8,53,22,2,2,26.5,2
-16.3,52,24,1,2,26.0,2
-16.9,50,24,2,2,25.0,2
-17.3,49,24,2,1,24.5,0
-17.0,52,15,1,0,26.0,2
-17.1,52,20,2,1,26.0,2
-17.3,55,17,0,0,27.5,2
